iter	RMSE
0	14.92264153
1	14.83678667
2	14.73927424
3	14.64794934
4	14.56608904
5	14.48552708
6	14.40611035
7	14.33040955
8	14.25184134
9	14.18245886
10	14.10711888
11	14.01427047
12	13.93583408
13	13.85222883
14	13.77890319
15	13.69630609
16	13.61881755
17	13.53792165
18	13.45792221
19	13.37744681
20	13.29393774
21	13.2093093
22	13.131737
23	13.05827417
24	12.98806319
25	12.91244655
26	12.83460423
27	12.75946719
28	12.68377938
29	12.6190923
30	12.55218098
31	12.47702948
32	12.40099633
33	12.34133776
34	12.27285522
35	12.2113011
36	12.14106859
37	12.08359477
38	12.01368678
39	11.95729961
40	11.90121089
41	11.84386078
42	11.77905622
43	11.71079684
44	11.65634514
45	11.59852445
46	11.54228224
47	11.48975769
48	11.43285889
49	11.37215652
50	11.31510487
51	11.26235419
52	11.20851493
53	11.14970973
54	11.09681816
55	11.03395455
56	10.98358254
57	10.9261114
58	10.86750119
59	10.81423358
60	10.75738945
61	10.71284374
62	10.66345384
63	10.6086131
64	10.55588225
65	10.50783623
66	10.4575002
67	10.40920358
68	10.36165575
69	10.3095692
70	10.25962373
71	10.21215864
72	10.16170731
73	10.11357292
74	10.07573785
75	10.02711263
76	9.986043279
77	9.947667732
78	9.904866801
79	9.860969952
80	9.81619465
81	9.769361513
82	9.728438063
83	9.684929875
84	9.641076725
85	9.609500208
86	9.571658727
87	9.535581492
88	9.493130244
89	9.458187647
90	9.418286146
91	9.377905788
92	9.337806967
93	9.301995036
94	9.260934897
95	9.222547485
96	9.19167176
97	9.159144293
98	9.127108308
99	9.090007759
100	9.059042242
101	9.024712592
102	8.986006572
103	8.950400783
104	8.917907662
105	8.887238115
106	8.852062842
107	8.819505392
108	8.78413324
109	8.750214987
110	8.722947492
111	8.689191755
112	8.654378404
113	8.623307983
114	8.590237057
115	8.560428245
116	8.529198545
117	8.502581026
118	8.474288542
119	8.442583819
120	8.415306496
121	8.38430749
122	8.354417776
123	8.324044211
124	8.293671907
125	8.263249556
126	8.234509771
127	8.208415103
128	8.180646375
129	8.150881737
130	8.125602129
131	8.096309367
132	8.069339534
133	8.040854054
134	8.016564279
135	7.990816673
136	7.965930686
137	7.942556301
138	7.916157027
139	7.890175361
140	7.86479464
141	7.843409879
142	7.821342647
143	7.802605302
144	7.781935825
145	7.758763485
146	7.735653777
147	7.714200591
148	7.692976324
149	7.670681708
150	7.647743696
151	7.63043177
152	7.607912218
153	7.588863187
154	7.568908652
155	7.546683182
156	7.525232963
157	7.507804709
158	7.49016918
159	7.473005062
160	7.455329944
161	7.435802702
162	7.415195448
163	7.394161364
164	7.377195445
165	7.357562496
166	7.342660868
167	7.320335871
168	7.301144336
169	7.282986796
170	7.268626416
171	7.2509612
172	7.232104523
173	7.217249332
174	7.199487077
175	7.185175902
176	7.17004649
177	7.152847954
178	7.138462314
179	7.119999903
180	7.101285492
181	7.087671827
182	7.072540354
183	7.057890447
184	7.04161536
185	7.026287808
186	7.012922188
187	6.997577185
188	6.98343375
189	6.96666049
190	6.950860747
191	6.935410113
192	6.920646217
193	6.90514847
194	6.89068448
195	6.877020928
196	6.863681484
197	6.849530262
198	6.835620912
199	6.823388202
200	6.809296078
201	6.793883458
202	6.778944917
203	6.765760152
204	6.752232953
205	6.738276426
206	6.724504519
207	6.714121773
208	6.701087915
209	6.687393733
210	6.676498815
211	6.662913028
212	6.651331213
213	6.638632991
214	6.625455469
215	6.615855177
216	6.605014469
217	6.595942592
218	6.584043934
219	6.573517622
220	6.562987365
221	6.553319578
222	6.54199769
223	6.532759365
224	6.522252965
225	6.511123043
226	6.500404959
227	6.489741339
228	6.479363479
229	6.469583881
230	6.459860459
231	6.449972344
232	6.438925409
233	6.429059602
234	6.422282789
235	6.41200756
236	6.404285583
237	6.395970094
238	6.386555212
239	6.377856738
240	6.368671249
241	6.360510957
242	6.351848534
243	6.343038151
244	6.333940428
245	6.324456349
246	6.314384407
247	6.306112927
248	6.298739397
249	6.289526329
250	6.281560258
251	6.272741845
252	6.264350838
253	6.258125923
254	6.250812574
255	6.242952095
256	6.235143961
257	6.227190317
258	6.219215307
259	6.212340564
260	6.205849413
261	6.197830349
262	6.189498822
263	6.183536068
264	6.176939723
265	6.170093821
266	6.164473049
267	6.157232023
268	6.150196887
269	6.143599987
270	6.136480906
271	6.130350658
272	6.124928143
273	6.117552795
274	6.111670692
275	6.106169082
276	6.098919489
277	6.093980803
278	6.087811419
279	6.08160783
280	6.076995829
281	6.071680371
282	6.066592381
283	6.059747173
284	6.052874013
285	6.047226301
286	6.04067351
287	6.035625295
288	6.029994384
289	6.024515996
290	6.019207711
291	6.014330793
292	6.009574222
293	6.004464843
294	5.997886241
295	5.993107578
296	5.986663302
297	5.981563913
298	5.975592585
299	5.969326216
300	5.965425172
301	5.960278454
302	5.954494198
303	5.949122919
304	5.94453322
305	5.941957806
306	5.936209829
307	5.932068579
308	5.927134276
309	5.922726449
310	5.918123474
311	5.91357202
312	5.907998616
313	5.902146912
314	5.896630792
315	5.890851032
316	5.886140492
317	5.880954624
318	5.877855378
319	5.873376338
320	5.869180159
321	5.86512144
322	5.861601342
323	5.858069756
324	5.854569128
325	5.849369344
326	5.844770136
327	5.840336624
328	5.835031199
329	5.830392188
330	5.826486234
331	5.823090162
332	5.819233049
333	5.815114955
334	5.810670579
335	5.806831147
336	5.803921694
337	5.800271933
338	5.795957117
339	5.792378397
340	5.788665011
341	5.784612225
342	5.782156173
343	5.778300135
344	5.773792613
345	5.769509088
346	5.766220175
347	5.762261467
348	5.75783634
349	5.754448687
350	5.750834171
351	5.748015729
352	5.745280179
353	5.742075652
354	5.73867182
355	5.736488238
356	5.732369763
357	5.727999041
358	5.724979669
359	5.721780263
360	5.71823167
361	5.715192838
362	5.712133746
363	5.708569413
364	5.705135179
365	5.701758073
366	5.698560301
367	5.695516251
368	5.692928717
369	5.688897199
370	5.686039293
371	5.682436861
372	5.679127858
373	5.675849662
374	5.673433812
375	5.670361214
376	5.667606921
377	5.664879245
378	5.661711512
379	5.659414842
380	5.657120924
381	5.653470363
382	5.651125316
383	5.648518601
384	5.645325079
385	5.642212688
386	5.638549684
387	5.635138811
388	5.632628589
389	5.629191346
390	5.627471619
391	5.624854875
392	5.6219325
393	5.618613505
394	5.615397903
395	5.613572196
396	5.610943332
397	5.608558913
398	5.606324661
399	5.603547501
400	5.601101286
401	5.598198564
402	5.59648552
403	5.594324075
404	5.591783141
405	5.590004544
406	5.588408084
407	5.586008848
408	5.583583964
409	5.580802541
410	5.57809261
411	5.575912233
412	5.573562039
413	5.571484715
414	5.569215315
415	5.566378386
416	5.564568662
417	5.562394158
418	5.560200631
419	5.557324367
420	5.555540377
421	5.553677927
422	5.551487105
423	5.549428949
424	5.54763367
425	5.546139999
426	5.543534069
427	5.541626709
428	5.539257923
429	5.536180936
430	5.534200848
431	5.532706619
432	5.531018412
433	5.529154699
434	5.526395163
435	5.524274743
436	5.523196385
437	5.521532587
438	5.519297778
439	5.51763727
440	5.516046636
441	5.514715002
442	5.512311702
443	5.510643895
444	5.509230456
445	5.508012791
446	5.506322009
447	5.504388129
448	5.503232908
449	5.50048988
450	5.499186504
451	5.497183671
452	5.495190723
453	5.493615246
454	5.491967001
455	5.490591116
456	5.488591308
457	5.486647034
458	5.485139976
459	5.483083447
460	5.481670651
461	5.480317005
462	5.47805285
463	5.475657136
464	5.474332036
465	5.472691197
466	5.471010939
467	5.468982036
468	5.467312409
469	5.465617995
470	5.463937894
471	5.46161593
472	5.460411606
473	5.458570362
474	5.4565354
475	5.454572918
476	5.452803592
477	5.451576346
478	5.449845863
479	5.448184384
480	5.446683338
481	5.445355483
482	5.443381978
483	5.441825116
484	5.439915315
485	5.439226667
486	5.437356214
487	5.435971288
488	5.434664218
489	5.433205752
490	5.432242811
491	5.430948163
492	5.429666354
493	5.427931684
494	5.426579765
495	5.425213664
496	5.423632269
497	5.421969805
498	5.420289328
499	5.418871771
500	5.41767963
501	5.416407147
502	5.415215377
503	5.413720386
504	5.412875542
505	5.411538885
506	5.409757
507	5.407509453
508	5.405177461
509	5.404156523
510	5.402795439
511	5.401802543
512	5.400457515
513	5.399634846
514	5.397792847
515	5.396558229
516	5.394968951
517	5.393478804
518	5.392416197
519	5.391221128
520	5.390147082
521	5.389181418
522	5.388052209
523	5.386576851
524	5.384851629
525	5.383373001
526	5.382260689
527	5.381497002
528	5.38048724
529	5.379437273
530	5.378899633
531	5.377926266
532	5.376424986
533	5.375401661
534	5.374547018
535	5.373751074
536	5.372788766
537	5.371534852
538	5.37117531
539	5.369933902
540	5.369024904
541	5.367631607
542	5.3658392
543	5.364566486
544	5.363149744
545	5.362260325
546	5.361284133
547	5.36039575
548	5.359432452
549	5.358228602
550	5.356391062
551	5.355593129
552	5.355100537
553	5.354303054
554	5.353130524
555	5.352361033
556	5.350580682
557	5.349577086
558	5.348443037
559	5.347309797
560	5.34655623
561	5.345605209
562	5.344438166
563	5.343524938
564	5.342825398
565	5.341776649
566	5.340517264
567	5.339119278
568	5.338189303
569	5.337700454
570	5.336950093
571	5.336303817
572	5.335586555
573	5.334655202
574	5.333482096
575	5.332830949
576	5.332091347
577	5.331081076
578	5.33054175
579	5.329255716
580	5.328683849
581	5.326927805
582	5.326295935
583	5.3254735
584	5.324512717
585	5.32335812
586	5.322658972
587	5.321472813
588	5.320695644
589	5.319909673
590	5.319007031
591	5.318547727
592	5.317619243
593	5.316971357
594	5.315742746
595	5.3154536
596	5.314530797
597	5.313062957
598	5.312206013
599	5.311607145
600	5.310876661
601	5.310360925
602	5.308731784
603	5.307743267
604	5.306925324
605	5.306377146
606	5.305652425
607	5.304703163
608	5.304097052
609	5.302723657
610	5.302047954
611	5.301555617
612	5.300948202
613	5.300236392
614	5.299554299
615	5.298821624
616	5.297469234
617	5.296779154
618	5.29586809
619	5.294755695
620	5.294051118
621	5.293421129
622	5.292518907
623	5.291582188
624	5.290731107
625	5.289596744
626	5.288880891
627	5.288100651
628	5.28703063
629	5.28572705
630	5.284626704
631	5.283944627
632	5.283084209
633	5.282463297
634	5.281421014
635	5.280500866
636	5.279864393
637	5.278654328
638	5.2774607
639	5.276358271
640	5.275641698
641	5.274749501
642	5.273770893
643	5.272891673
644	5.272037089
645	5.271029449
646	5.270287679
647	5.269809765
648	5.269284379
649	5.268409851
650	5.268164153
651	5.267449284
652	5.266702183
653	5.265524333
654	5.265414397
655	5.264869944
