iter	Passed	Remaining
0	169	169545
1	173	86609
2	177	58874
3	180	44886
4	183	36480
5	186	30912
6	189	26935
7	192	23902
8	195	21482
9	197	19557
10	199	17955
11	201	16599
12	203	15460
13	205	14460
14	206	13581
15	208	12813
16	209	12136
17	211	11522
18	212	10974
19	214	10523
20	217	10120
21	218	9709
22	219	9330
23	220	8976
24	221	8654
25	222	8344
26	223	8060
27	224	7796
28	225	7548
29	226	7318
30	227	7101
31	228	6901
32	230	6753
33	231	6586
34	232	6418
35	233	6260
36	234	6109
37	235	5968
38	236	5830
39	237	5702
40	238	5579
41	239	5462
42	240	5351
43	241	5246
44	242	5145
45	243	5054
46	245	4968
47	245	4876
48	246	4789
49	247	4706
50	248	4629
51	249	4550
52	250	4478
53	251	4408
54	252	4340
55	253	4271
56	254	4205
57	255	4142
58	255	4082
59	256	4023
60	257	3968
61	259	3919
62	260	3867
63	260	3816
64	261	3767
65	262	3719
66	263	3674
67	264	3629
68	265	3584
69	266	3541
70	267	3499
71	268	3457
72	269	3416
73	269	3376
74	270	3338
75	271	3302
76	272	3266
77	273	3233
78	274	3203
79	275	3170
80	276	3138
81	277	3105
82	277	3070
83	278	3039
84	279	3010
85	280	2980
86	281	2951
87	282	2923
88	282	2895
89	283	2869
90	284	2842
91	285	2816
92	286	2791
93	287	2767
94	288	2747
95	289	2726
96	290	2702
97	291	2678
98	291	2656
99	292	2634
100	293	2612
101	294	2591
102	295	2570
103	296	2550
104	296	2531
105	297	2511
106	298	2491
107	299	2472
108	300	2454
109	301	2436
110	302	2419
111	303	2403
112	304	2389
113	305	2372
114	306	2355
115	306	2339
116	307	2321
117	308	2307
118	309	2291
119	310	2276
120	311	2262
121	312	2246
122	312	2231
123	313	2217
124	314	2202
125	315	2189
126	316	2174
127	317	2163
128	318	2149
129	319	2137
130	320	2124
131	321	2112
132	322	2099
133	322	2087
134	323	2075
135	324	2063
136	325	2052
137	326	2040
138	327	2028
139	328	2016
140	329	2005
141	329	1992
142	330	1981
143	331	1971
144	332	1960
145	333	1950
146	334	1939
147	334	1928
148	335	1918
149	336	1907
150	337	1898
151	338	1888
152	339	1879
153	340	1870
154	341	1860
155	342	1851
156	343	1841
157	343	1832
158	344	1822
159	345	1814
160	346	1804
161	347	1795
162	348	1787
163	348	1778
164	349	1769
165	350	1761
166	351	1752
167	352	1743
168	352	1735
169	353	1726
170	354	1718
171	355	1710
172	356	1702
173	356	1694
174	357	1686
175	358	1678
176	359	1671
177	360	1663
178	361	1656
179	361	1648
180	362	1641
181	363	1633
182	364	1626
183	365	1618
184	365	1611
185	366	1604
186	367	1597
187	368	1590
188	369	1583
189	369	1577
190	370	1570
191	372	1566
192	373	1561
193	374	1555
194	375	1548
195	376	1543
196	377	1538
197	378	1532
198	379	1527
199	380	1521
200	381	1515
201	382	1509
202	383	1503
203	383	1497
204	384	1492
205	385	1485
206	386	1479
207	387	1474
208	387	1468
209	388	1462
210	389	1456
211	390	1450
212	391	1445
213	392	1440
214	393	1435
215	393	1429
216	394	1424
217	395	1418
218	396	1412
219	396	1407
220	397	1401
221	398	1396
222	399	1391
223	400	1386
224	400	1380
225	401	1375
226	402	1370
227	403	1365
228	404	1360
229	404	1355
230	406	1351
231	407	1347
232	407	1342
233	408	1337
234	409	1333
235	410	1328
236	411	1323
237	411	1318
238	412	1314
239	413	1309
240	414	1305
241	415	1300
242	416	1296
243	417	1292
244	417	1287
245	418	1283
246	419	1279
247	420	1275
248	421	1272
249	422	1268
250	423	1263
251	424	1259
252	425	1254
253	425	1250
254	426	1246
255	427	1242
256	428	1238
257	429	1233
258	429	1229
259	430	1225
260	431	1221
261	432	1217
262	432	1213
263	433	1209
264	434	1205
265	435	1201
266	436	1198
267	437	1194
268	438	1191
269	439	1187
270	439	1183
271	440	1179
272	441	1175
273	442	1172
274	443	1168
275	444	1164
276	444	1161
277	445	1157
278	446	1153
279	447	1150
280	448	1146
281	448	1142
282	449	1139
283	451	1137
284	452	1134
285	452	1130
286	453	1126
287	454	1123
288	455	1120
289	456	1116
290	456	1113
291	457	1109
292	458	1106
293	459	1102
294	460	1099
295	460	1096
296	461	1092
297	462	1089
298	463	1086
299	464	1082
300	465	1080
301	466	1078
302	467	1075
303	468	1071
304	468	1068
305	469	1065
306	470	1062
307	471	1059
308	472	1056
309	473	1053
310	474	1050
311	475	1047
312	475	1044
313	476	1041
314	477	1038
315	478	1035
316	479	1032
317	480	1030
318	481	1028
319	482	1025
320	483	1022
321	484	1020
322	485	1017
323	486	1014
324	487	1011
325	488	1008
326	488	1006
327	489	1003
328	490	1000
329	491	997
330	492	994
331	493	992
332	494	989
333	495	987
334	496	985
335	497	982
336	497	979
337	498	976
338	499	973
339	500	971
340	501	968
341	502	965
342	502	963
343	503	960
344	504	958
345	505	955
346	506	953
347	507	950
348	508	947
349	509	945
350	510	944
351	512	942
352	512	940
353	513	937
354	514	935
355	515	932
356	516	929
357	517	927
358	517	924
359	518	922
360	519	919
361	520	917
362	521	914
363	521	911
364	522	909
365	523	907
366	525	905
367	526	904
368	527	902
369	528	900
370	529	897
371	530	895
372	531	893
373	532	890
374	533	888
375	533	886
376	534	883
377	535	881
378	536	878
379	537	876
380	537	873
381	538	871
382	539	869
383	541	868
384	542	866
385	543	864
386	544	862
387	545	859
388	545	857
389	546	855
390	547	853
391	548	850
392	549	848
393	550	846
394	550	843
395	551	841
396	552	839
397	553	837
398	554	835
399	556	834
400	557	832
401	558	830
402	559	828
403	560	826
404	560	824
405	561	821
406	562	819
407	563	817
408	564	814
409	564	812
410	565	810
411	566	808
412	567	806
413	567	803
414	569	802
415	570	801
416	572	799
417	572	797
418	573	795
419	574	793
420	575	791
421	576	789
422	576	786
423	577	784
424	578	782
425	579	780
426	579	778
427	580	776
428	581	774
429	582	772
430	583	770
431	585	769
432	586	768
433	587	766
434	588	764
